Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Used ISBN,Genre
214331246,"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,"Collins, Suzanne",,1546171460,9781546171461,0,4.6,Scholastic Press,Hardcover,400.0,2025.0,2025.0,,2025/02/13,to-read,to-read (#268),to-read,,,,0,0,9781546171461,No categories available
136470356,Nocticadia,Keri Lake,"Lake, Keri",,,,0,4.24,,Kindle Edition,682.0,2023.0,2023.0,,2025/02/11,to-read,to-read (#267),to-read,,,,0,0,,No ISBN
212808709,Deep End,Ali Hazelwood,"Hazelwood, Ali",,,,5,4.07,Berkley,Kindle Edition,464.0,2025.0,2025.0,2025/02/10,2025/02/10,,,read,"Read this on a whim for a flight. I wasn't planning on reading this book because I had given up on Ali Hazelwood. I loved The Love Hypothesis, but then I really disliked the steminist novels that she put out because I felt like they were recycled and then I never picked up another one of her books. But, I was inspired to pick this one up, because I was a swimmer for 15 years of my life and I'm glad I did! <br/><br/>I really loved this book, with the emphasis on mental health and how that can affect Scarlett's diving. I also liked how they explored the dom/sub stuff with the acknowledgment on feminism and the control it brings. I'm not typically a fan of that stuff, but I liked how it was represented with the constant check ins from Luk, it felt caring and consensual which sometimes other books lack. <br/><br/>Loved this one! I think it's bringing me out of my reading slump. (I haven't read a book in 3 months) ",,,1,0,,No ISBN
58890783,Either/Or,Elif Batuman,"Batuman, Elif",,0525557598,9780525557593,4,3.99,Penguin Press,Hardcover,368.0,2022.0,2022.0,2025/02/06,2023/06/15,,,read,"Going into this book I did not know it was a sequel. It doesn't even say that it is on Goodreads. I didn't realize that until I was about a quarter of the way through and was confused why they were throwing all these characters at us, as if we were supposed to know them already. (Turns out we were supposed to know them already lmao) Even without the background, I think I have a good understanding of how the first book ended up going, with her current obsession with Ivan. <br/><br/>I thought this was a really interesting book with a very unique main character who was both relatable and unrelatable. Clearly Selin was incredibly smart, but lack the social understanding of lots of things. I probably didn't understand as much of the book as I would've liked, since I have no knowledge of any of the Russian literature that was referenced in the novel, but I still enjoyed it.",,,1,0,9780525557593,"education, coming of age, love, personal development, Women college students, Fiction, Identity (Psychology), Turkish Americans, FICTION / Literary, FICTION / Coming of Age, FICTION / Women, FICTION / Diversity & Multicultural"
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,,,0,4.39,HarperVoyager,Kindle Edition,,2025.0,2025.0,,2025/02/05,to-read,to-read (#266),to-read,,,,0,0,,No ISBN
201627074,Not Another Love Song,Julie  Soto,"Soto, Julie",,1538740915,9781538740910,0,4.08,Forever,Paperback,384.0,2024.0,2024.0,,2025/01/29,to-read,to-read (#265),to-read,,,,0,0,9781538740910,No categories available
62926938,The Seven Year Slip,Ashley Poston,"Poston, Ashley",,,,0,4.19,Berkley,Paperback,336.0,2023.0,2023.0,,2025/01/29,to-read,to-read (#264),to-read,,,,0,0,,No ISBN
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,0571268862,9780571268863,0,4.06,Harper Perennial Modern Classics,Paperback,294.0,2006.0,1963.0,,2022/09/28,,,read,,,,1,0,9780571268863,"women college students, summer, Classics, Literature, Psychology, Feminism, Novel, Poetry, Mental Health, American, Adult, Fiction, Mental Depression, Suicidal behavior, Mentally ill, Psychiatric hospital patients, Mental illness, Women authors, Treatment, Women periodical editors, College students, Suicide, Psychological fiction, Autobiographical fiction, Roman à clef, open_syllabus_project, Women psychotherapy patients, Fiction, psychological, American fiction (fictional works by one author), Young women, fiction, Students, fiction, Children's fiction, Depression, mental, fiction, Fiction, biographical, Fiction, general, New york (n.y.), fiction, American literature, Interns, Women's periodicals, Electroconvulsive therapy, Sexism, Depression in women, Authors"
56616095,The Bell Jar,Sylvia Plath,"Plath, Sylvia","Frances McCullough, Lois Ames",0060837020,9780060837020,0,4.06,Harper Perennial,Paperback,288.0,2006.0,1963.0,,2025/01/25,,,read,,,,1,0,9780060837020,"women college students, summer, Classics, Literature, Psychology, Feminism, Novel, Poetry, Mental Health, American, Adult, Fiction, Mental Depression, Suicidal behavior, Mentally ill, Psychiatric hospital patients, Mental illness, Women authors, Treatment, Women periodical editors, College students, Suicide, Psychological fiction, Autobiographical fiction, Roman à clef, open_syllabus_project, Women psychotherapy patients, Fiction, psychological, American fiction (fictional works by one author), Young women, fiction, Students, fiction, Children's fiction, Depression, mental, fiction, Fiction, biographical, Fiction, general, New york (n.y.), fiction, American literature, Interns, Women's periodicals, Electroconvulsive therapy, Sexism, Depression in women, Authors"
219848373,"The Irresistible Urge to Fall for Your Enemy (Dearly Beloathed, #1)",Brigitte Knightley,"Knightley, Brigitte",,0593819454,9780593819456,0,4.44,Ace,Hardcover,384.0,2025.0,2025.0,,2025/01/23,to-read,to-read (#263),to-read,,,,0,0,9780593819456,American literature
61374793,I Am Not Jessica Chen,Ann Liang,"Liang, Ann",,133552312X,9781335523129,0,4.14,HarperTeen,Hardcover,320.0,2025.0,2025.0,,2025/01/22,to-read,to-read (#262),to-read,,,,0,0,9781335523129,Not Found
207670238,Alchemised,SenLinYu,"SenLinYu, SenLinYu",,,,0,4.68,Del Rey Books,Hardcover,976.0,2025.0,2025.0,,2024/12/06,to-read,to-read (#261),to-read,,,,0,0,,No ISBN
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,1803144378,9781803144375,4,4.31,Bookouture,Kindle Edition,329.0,2022.0,2022.0,2024/12/02,2024/12/02,,,read,"My second Freida McFadden book (I read The Boyfriend first). It was engaging and I read the book in about 2 hours. I liked the twist, but I felt like it was missing just a little bit. ",,,1,0,9781803144375,Not Found
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,0593158687,9780593158685,0,4.21,Ballantine Books,Hardcover,384.0,2022.0,2022.0,,2024/12/01,to-read,to-read (#260),to-read,,,,0,0,9780593158685,"American literature, nyt:combined-print-and-e-book-fiction=2022-09-18, New York Times bestseller, Fiction, women, Fiction, sports, Fiction, romance, sports"
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,,,5,4.45,Simon & Schuster,ebook,320.0,2022.0,2022.0,2024/09/01,2022/08/09,,,read,Read this so quickly. <br/><br/>Since this book has been out for a while I had heard some excerpts but it didn't prepare me for the hell that Jennette McCurdy survived. <br/><br/>Nobody should have to go through what she went through. Knowing that I was watching her on iCarly when it was coming out and didn't know any of this was happening goes to show that you never know what's happening in a celebrity's life. They are not good role models.,,,1,0,,No ISBN
63291997,"With a Little Luck (Fortuna Beach, #2)",Marissa Meyer,"Meyer, Marissa",Chuck Gonzales,1250618932,9781250618931,3,3.85,Feiwel & Friends,Hardcover,360.0,2024.0,2024.0,2024/12/01,2023/10/25,,,read,"A wonderful addition to Instant Karma, though I didn't enjoy it as much. It was still a fun read! The ""twist"" was seen from a mile away. ",,,1,0,9781250618931,"nyt:young-adult-hardcover=2024-03-03, New York Times bestseller"
217245608,What Happens in Amsterdam,Rachel Lynn Solomon,"Solomon, Rachel Lynn",,0593548558,9780593548554,0,4.15,Berkley,Paperback,384.0,2025.0,2025.0,,2024/12/01,to-read,to-read (#259),to-read,,,,0,0,9780593548554,Not Found
57773248,Notes on an Execution,Danya Kukafka,"Kukafka, Danya",,0063052733,9780063052734,0,4.06,William Morrow,Hardcover,306.0,2022.0,2022.0,,2024/11/29,to-read,to-read (#258),to-read,,,,0,0,9780063052734,"Serial murderers, Fiction, Family, Friends and associates, Death row inmates, Tueurs en série, Romans, nouvelles, Famille, Amis et relations, Condamnés à mort, FICTION / Thrillers / Psychological, FICTION / Crime, FICTION / Women, Murderers"
204538483,"The Striker (Gods of the Game, #1)",Ana Huang,"Huang, Ana",,,,4,3.78,,Kindle Edition,595.0,2024.0,2024.0,2024/11/22,2024/11/22,,,read,"I don't typically like sports romance, but I am a dedicated Ana Huang fan so I had to at least try. Honestly, I was surprised at how much I enjoyed this. I liked it more than the King of Pride and King of Sloth. (But I also don't love the billionaire romances either haha) <br/><br/>This book is def Ana Huang. Follows the exact same type of story line with the 3rd act betrayal. Usually the 3rd act betrayal and how much of a betrayal determines my liking of the book. I don't like Asher. LOL. I'm not sure I would've forgiven him.  ",,,1,0,,No ISBN
209753199,"The Irresistible Urge to Fall For Your Enemy (Dearly Beloathed, #1)",Brigitte Knightley,"Knightley, Brigitte",,0356524736,9780356524733,0,4.44,Orbit Books,Hardcover,416.0,2025.0,2025.0,,2024/11/21,to-read,to-read (#257),to-read,,,,0,0,9780356524733,American literature
215109788,"Rose in Chains (The Evermore Trilogy, #1)",Julie  Soto,"Soto, Julie",,0008711690,9780008711696,0,4.53,Magpie,Kindle Edition,0.0,2025.0,2025.0,,2024/11/21,to-read,to-read (#256),to-read,,,,0,0,9780008711696,Not Found
150260787,"Ruthless Vows (Letters of Enchantment, #2)",Rebecca   Ross,"Ross, Rebecca",,,,3,4.01,Wednesday Books,Kindle Edition,419.0,2023.0,2023.0,2024/11/15,2024/03/01,,,read,,,,1,0,,No ISBN
158649729,All in Her Head: The Truth and Lies Early Medicine Taught Us About Women's Bodies and Why It Matters Today,Elizabeth Comen,"Comen, Elizabeth",,0063293013,9780063293014,0,4.38,Harper Wave,Hardcover,368.0,2024.0,2024.0,,2024/11/11,to-read,to-read (#255),to-read,,,,0,0,9780063293014,No categories available
